Date,Open,High,Low,Close,Volume
05/31/2024,"151.48","152.50","147.81","151.04","13,782,610"
05/30/2024,"153.59","154.05","151.89","152.96","9,710,978"
05/29/2024,"156.75","156.88","153.21","154.34","15,779,980"
05/28/2024,"159.68","160.38","157.60","159.41","13,964,360"
05/24/2024,"157.20","160.66","156.71","160.00","11,908,210"
05/23/2024,"159.18","160.78","155.87","157.09","20,872,971"
05/22/2024,"155.88","157.23","154.54","156.15","13,455,200"
05/21/2024,"152.30","153.99","151.95","153.67","7,919,449"
05/20/2024,"151.67","154.24","150.82","153.55","9,261,190"
05/17/2024,"154.00","154.00","150.84","151.68","7,711,247"
05/16/2024,"154.10","155.06","152.21","152.23","13,394,140"
05/15/2024,"153.36","156.00","152.73","155.58","14,027,090"
05/14/2024,"146.49","152.01","146.25","151.95","12,316,540"
05/13/2024,"148.02","148.44","146.30","146.41","8,278,732"
05/10/2024,"147.22","150.50","146.93","149.26","23,671,381"
05/09/2024,"142.94","143.35","141.13","142.79","8,012,668"
05/08/2024,"141.11","144.26","140.80","143.60","10,202,350"
05/07/2024,"141.87","142.30","140.51","141.11","8,682,941"
05/06/2024,"140.47","142.83","139.81","142.83","8,601,573"
05/03/2024,"138.90","142.11","138.76","141.56","13,264,340"
05/02/2024,"135.60","136.74","133.22","136.23","9,261,896"
05/01/2024,"137.42","139.43","133.21","134.94","12,573,480"
04/30/2024,"137.94","139.70","137.26","137.34","10,980,630"
04/29/2024,"138.00","138.65","135.91","138.50","10,025,910"
04/26/2024,"136.81","138.74","135.95","138.30","9,453,393"
04/25/2024,"130.00","137.84","128.86","136.58","18,034,260"
04/24/2024,"136.09","136.29","131.54","132.97","15,558,000"
04/23/2024,"131.36","133.71","130.66","133.43","12,573,760"
04/22/2024,"126.75","130.66","125.78","129.75","18,556,789"
04/19/2024,"129.37","131.55","126.64","127.70","28,284,020"
04/18/2024,"132.89","135.13","130.30","132.27","39,306,152"
04/17/2024,"141.13","142.57","137.36","139.03","18,823,240"
04/16/2024,"137.89","140.54","137.06","139.80","14,218,220"
04/15/2024,"145.02","145.48","139.88","140.14","13,458,780"
04/12/2024,"145.00","146.51","142.15","142.52","12,024,040"
04/11/2024,"147.20","147.56","144.13","147.20","11,818,760"
04/10/2024,"146.63","148.43","145.26","146.22","18,861,320"
04/09/2024,"146.26","148.17","142.95","145.40","18,487,980"
04/08/2024,"145.24","146.00","142.76","142.79","16,307,400"
04/05/2024,"140.00","142.00","138.92","141.36","8,263,641"
04/04/2024,"144.00","146.75","139.43","139.66","15,759,510"
04/03/2024,"138.58","142.93","138.39","142.00","9,707,518"
04/02/2024,"140.38","141.04","139.35","140.22","9,869,172"
04/01/2024,"137.29","142.96","137.05","141.49","14,222,660"
03/28/2024,"135.68","136.80","135.44","136.05","10,019,360"
03/27/2024,"138.86","139.28","135.15","136.69","13,842,820"
03/26/2024,"140.61","140.96","138.64","138.84","10,786,450"
03/25/2024,"140.16","141.68","139.26","140.23","9,922,244"
03/22/2024,"139.40","141.34","139.11","140.54","9,944,135"
03/21/2024,"142.55","142.60","139.04","139.45","17,809,391"
03/20/2024,"136.53","137.31","135.01","136.75","12,750,230"
03/19/2024,"135.30","136.27","133.03","134.87","17,341,131"
03/18/2024,"140.18","141.54","136.61","136.64","14,732,900"
03/15/2024,"135.44","137.70","134.63","136.98","22,751,211"
03/14/2024,"142.61","143.10","139.02","139.62","14,961,900"
03/13/2024,"143.05","143.23","141.37","142.14","12,923,060"
03/12/2024,"144.52","146.70","140.57","144.40","21,218,500"
03/11/2024,"143.62","144.40","138.93","139.02","29,227,109"
03/08/2024,"153.90","158.40","144.93","146.37","43,856,879"
03/07/2024,"144.90","151.60","144.15","149.20","34,675,727"
03/06/2024,"138.80","144.00","138.61","141.57","22,292,689"
03/05/2024,"137.12","137.43","133.73","134.97","13,694,690"
